reference.x_left,reference.y_left,reference.rho_left,reference.x_right,reference.y_right,reference.rho_right,reference.speed
5306.96576605464,-89877.8873970758,0,5305.63464184282,-89883.2238854655,0,11.111
5306.91725252382,-89877.8752959467,0,5305.586128312,-89883.2117843363,0,11.111
5306.86873899301,-89877.8631948174,0,5305.53761478119,-89883.1996832071,0,11.111
5306.82022546219,-89877.8510936883,0,5305.48910125037,-89883.1875820779,0,11.111
5306.77171193138,-89877.8389925591,0,5305.44058771956,-89883.1754809487,0,11.111
5306.72319840056,-89877.8268914299,0,5305.39207418875,-89883.1633798195,0,11.111
5306.67468486975,-89877.8147903007,0,5305.34356065793,-89883.1512786903,0,11.111
5306.62617133893,-89877.8026891715,0,5305.29504712712,-89883.1391775611,0,11.111
5306.57765780812,-89877.7905880423,0,5305.2465335963,-89883.1270764319,0,11.111
5306.52914427731,-89877.7784869131,0,5305.19802006549,-89883.1149753027,0,11.111
5306.48063074649,-89877.7663857839,0,5305.14950653467,-89883.1028741735,0,11.111
5306.43211721568,-89877.7542846547,0,5305.10099300386,-89883.0907730443,0,11.111
5306.38360368486,-89877.7421835255,0,5305.05247947304,-89883.0786719151,0,11.111
5306.33509015405,-89877.7300823963,0,5305.00396594223,-89883.0665707859,0,11.111
5306.28657662323,-89877.7179812671,0,5304.95545241141,-89883.0544696567,0,11.111
5306.23806309242,-89877.7058801379,0,5304.9069388806,-89883.0423685275,0,11.111
5306.1895495616,-89877.6937790087,0,5304.85842534978,-89883.0302673983,0,11.111
5306.14103603079,-89877.6816778795,0,5304.80991181897,-89883.0181662691,0,11.111
5306.09252249997,-89877.6695767503,0,5304.76139828815,-89883.0060651399,0,11.111
